ACTCMMID,C100_4,CITY,COSTT4_A,INSTNM,LATITUDE,LONGITUDE,SAT_AVG,SCHTYPE,STABBR,TRANS_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_MEN,UGDS_WHITE,UGDS_WOMEN,Year
24.0,0.5652,Naperville,49461.0,North Central College,41.77576,-88.14279,1083.0,1.0,IL,0.0,38880.0,38880.0,2641.0,0.0015,0.0337,0.0443,0.156,0.4627,0.6467,0.5373,
22.0,0.4075,Chicago,36759.0,North Park University,41.975268,-87.709948,1080.0,1.0,IL,0.0,29860.0,29860.0,1967.0,0.0015,0.0839,0.0819,0.3015,0.3838,0.3884,0.6162,
22.0,0.2395,Dekalb,32244.0,Northern Illinois University,41.933869,-88.766428,1095.0,0.0,IL,0.0,14617.0,14617.0,12761.0,0.0011,0.0559,0.1653,0.19,0.5004,0.5253,0.4996,
34.0,0.8402,Evanston,72960.0,Northwestern University,42.050356,-87.679858,1508.0,1.0,IL,0.0,54568.0,54568.0,8451.0,0.0009,0.1734,0.0594,0.1252,0.4892,0.4546,0.5108,
19.0,0.0261,Chicago,25281.0,Northeastern Illinois University,41.980399,-87.718983,995.0,0.0,IL,0.3494,11218.0,20726.0,6306.0,0.0024,0.0848,0.1121,0.3774,0.4361,0.2786,0.5639,
23.0,0.5292,Bourbonnais,46147.0,Olivet Nazarene University,41.155237,-87.875165,1129.0,1.0,IL,0.3223,36070.0,36070.0,3209.0,0.0016,0.0234,0.0813,0.0907,0.4123,0.7479,0.5877,
22.0,0.3702,Quincy,39884.0,Quincy University,39.938897999999995,-91.385975,1079.0,1.0,IL,0.0,28562.0,28562.0,916.0,0.0011,0.0022,0.1114,0.0469,0.5437,0.5655,0.4563,
21.0,0.2,Rockford,40569.0,Rockford University,42.270639,-89.019536,1088.0,1.0,IL,0.0,30930.0,30930.0,972.0,0.0021,0.0237,0.0988,0.1718,0.4455,0.5957,0.5545,
24.0,0.264,Chicago,43501.0,Roosevelt University,41.876055,-87.62495200000001,1123.0,1.0,IL,0.4064,29832.0,29832.0,2377.0,0.0042,0.0564,0.1531,0.2444,0.3441,0.4375,0.6559,
22.0,0.4938,River Forest,41118.0,Dominican University,41.902678,-87.823003,1064.0,1.0,IL,0.2741,33434.0,33434.0,2098.0,0.0033,0.0338,0.0601,0.5562,0.316,0.295,0.684,
23.0,0.3818,Joliet,40305.0,University of St Francis,41.532225,-88.096057,1129.0,1.0,IL,0.0,32320.0,32320.0,1590.0,0.0019,0.027000000000000003,0.0975,0.1994,0.3352,0.6006,0.6648,
22.0,0.4165,Chicago,40553.0,Saint Xavier University,41.707198999999996,-87.714749,1061.0,1.0,IL,0.0,33880.0,33880.0,2943.0,0.001,0.0299,0.1176,0.3908,0.3643,0.4054,0.6357,
