INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
Monmouth College,IL,Monmouth,40.914823999999996,-90.63731,1.0,0.4752,0.0,1033.0,22.0,1281.0,0.5457,0.4543,0.6432,0.1132,0.1335,0.0148,0.0062,33200.0,33200.0,42027.0,2015
North Central College,IL,Naperville,41.77576,-88.14279,1.0,0.4962,0.0,1125.0,25.0,2685.0,0.5594,0.4406,0.7337,0.0402,0.0968,0.0186,0.0011,34230.0,34230.0,43557.0,2015
North Park University,IL,Chicago,41.975268,-87.709948,1.0,0.3406,0.0,1025.0,22.0,2181.0,0.6291,0.3709,0.4984,0.0899,0.1999,0.0637,0.0014,24600.0,24600.0,31964.0,2015
Northern Illinois University,IL,Dekalb,41.933869,-88.766428,0.0,0.2525,0.0,1030.0,22.0,15391.0,0.4926,0.5074,0.5811,0.163,0.1442,0.0492,0.0015,13505.0,22784.0,27959.0,2015
Northwestern University,IL,Evanston,42.050356,-87.679858,1.0,0.8536,0.0,1461.0,33.0,8725.0,0.5045,0.4955,0.5263,0.0579,0.1084,0.1693,0.0005,47251.0,47251.0,63028.0,2015
Northeastern Illinois University,IL,Chicago,41.980399,-87.718983,0.0,0.0504,0.4086,890.0,19.0,8284.0,0.5608,0.4392,0.3579,0.1041,0.3595,0.0936,0.0022,8868.0,16164.0,23095.0,2015
Olivet Nazarene University,IL,Bourbonnais,41.155237,-87.875165,1.0,0.4444,0.0,1105.0,24.0,3504.0,0.6236,0.3764,0.7945,0.0833,0.0668,0.0228,0.002,31390.0,31390.0,40949.0,2015
Quincy University,IL,Quincy,39.938897999999995,-91.385975,1.0,0.3306,0.0,1024.0,22.0,1075.0,0.56,0.44,0.7126,0.1023,0.0344,0.0158,0.0065,26572.0,26572.0,36972.0,2015
Rockford University,IL,Rockford,42.270639,-89.019536,1.0,0.2727,0.0,1009.0,22.0,1017.0,0.6195,0.3805,0.6706,0.0924,0.0492,0.0157,0.0,27530.0,27530.0,37127.0,2015
Roosevelt University,IL,Chicago,41.876055,-87.62495200000001,1.0,0.1809,0.0,1050.0,23.0,3727.0,0.6297,0.3703,0.4521,0.1937,0.2197,0.0502,0.0021,26900.0,26900.0,42022.0,2015
Dominican University,IL,River Forest,41.902678,-87.823003,1.0,0.47600000000000003,0.3197,1029.0,22.0,2149.0,0.6603,0.3397,0.4076,0.0633,0.4435,0.0307,0.0009,29770.0,29770.0,36761.0,2015
University of St Francis,IL,Joliet,41.532225,-88.096057,1.0,0.3793,0.0,1064.0,23.0,1732.0,0.6819,0.3181,0.6894,0.0797,0.1507,0.026000000000000002,0.004,28790.0,28790.0,36919.0,2015
Saint Xavier University,IL,Chicago,41.707198999999996,-87.714749,1.0,0.3218,0.0,1008.0,22.0,2940.0,0.669,0.331,0.484,0.1446,0.2782,0.0269,0.0027,30100.0,30100.0,36152.0,2015
University of Illinois at Springfield,IL,Springfield,39.729524,-89.616796,0.0,0.3322,0.0,1081.0,24.0,2969.0,0.5099,0.4901,0.6595,0.1465,0.062,0.0354,0.0013,11367.0,20517.0,21630.0,2015
Southern Illinois University-Carbondale,IL,Carbondale,37.714193,-89.21727299999999,0.0,0.2455,0.0,1055.0,23.0,13171.0,0.4568,0.5432,0.633,0.203,0.0785,0.0166,0.0024,12248.0,24871.0,25105.0,2015
Southern Illinois University-Edwardsville,IL,Edwardsville,38.793949,-89.99777900000001,0.0,0.2867,0.3782,1070.0,23.0,11371.0,0.5299,0.4701,0.7406,0.1467,0.0382,0.0172,0.0024,9738.0,20682.0,22219.0,2015
Trinity Christian College,IL,Palos Heights,41.667687,-87.783973,1.0,0.4511,0.0,1080.0,24.0,1237.0,0.6548,0.3452,0.6896,0.1019,0.1148,0.0194,0.0049,25515.0,25515.0,35139.0,2015
Trinity International University-Illinois,IL,Deerfield,42.197945000000004,-87.880851,1.0,0.3582,0.0,1062.0,23.0,857.0,0.4644,0.5356,0.6161,0.1389,0.0618,0.0257,0.0012,27360.0,27360.0,39292.0,2015
VanderCook College of Music,IL,Chicago,41.836833,-87.629138,1.0,0.6,0.0,1109.0,24.0,108.0,0.4907,0.5093,0.6667,0.0556,0.213,0.0093,0.0,25690.0,25690.0,35742.0,2015
Western Illinois University,IL,Macomb,40.468086,-90.686899,0.0,0.2968,0.3283,970.0,21.0,9645.0,0.4929,0.5071,0.6308,0.1853,0.0947,0.0094,0.0013,12217.0,16533.0,25074.0,2015
Wheaton College,IL,Wheaton,41.870176,-88.099643,1.0,0.7966,0.0,1311.0,30.0,2402.0,0.5208,0.4792,0.7623,0.0233,0.0533,0.0858,0.0012,31900.0,31900.0,42390.0,2015
