INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
School of the Art Institute of Chicago,IL,Chicago,41.88105,-87.62575799999999,1.0,0.3696,0.22,1065.0,23.0,2783.0,0.7154,0.2846,0.4039,0.0291,0.0744,0.1276,0.004,42230.0,42230.0,57361.0,2015
Aurora University,IL,Aurora,41.753631,-88.349023,1.0,0.435,0.0,1010.0,22.0,3199.0,0.6665,0.3335,0.5705,0.086,0.2338,0.0228,0.0038,21320.0,21320.0,31767.0,2015
Blackburn College,IL,Carlinville,39.287896,-89.87024100000001,1.0,0.3041,0.0,989.0,21.0,578.0,0.5433,0.4567,0.8201,0.109,0.0225,0.0121,0.0052,19560.0,19560.0,25292.0,2015
Bradley University,IL,Peoria,40.696896,-89.616786,1.0,0.5078,0.0,1162.0,26.0,4585.0,0.5138,0.4862,0.7014,0.0519,0.0606,0.0301,0.002,30844.0,30844.0,42090.0,2015
Chicago State University,IL,Chicago,41.718446,-87.60938399999999,0.0,0.0249,0.5,870.0,18.0,3874.0,0.7155,0.2845,0.0232,0.7367,0.0746,0.0054,0.0013,9846.0,16806.0,19120.0,2015
University of Chicago,IL,Chicago,41.787994,-87.59953900000001,1.0,0.8652,0.0,1505.0,34.0,5729.0,0.4727,0.5273,0.4491,0.0475,0.0861,0.1714,0.0019,49380.0,49380.0,64988.0,2015
Concordia University-Chicago,IL,River Forest,41.898696,-87.80948199999999,1.0,0.5422,0.0,1031.0,22.0,1491.0,0.6123,0.3877,0.5533,0.1294,0.2408,0.0228,0.0007,28718.0,28718.0,36468.0,2015
Eastern Illinois University,IL,Charleston,39.479843,-88.175658,0.0,0.3299,0.3067,1010.0,22.0,7525.0,0.5977,0.4023,0.6974,0.1878,0.0546,0.0082,0.0023,11108.0,28088.0,23811.0,2015
Elmhurst College,IL,Elmhurst,41.897164000000004,-87.945369,1.0,0.6076,0.0,1089.0,24.0,2773.0,0.6008,0.3992,0.6971,0.0447,0.1551,0.0483,0.0014,33950.0,33950.0,44143.0,2015
Eureka College,IL,Eureka,40.71482,-89.269624,1.0,0.3464,0.0,1053.0,23.0,652.0,0.5613,0.4387,0.8390000000000001,0.0537,0.023,0.0077,0.0031,20060.0,20060.0,28945.0,2015
Greenville University,IL,Greenville,38.894162,-89.40824,1.0,0.3967,0.0,1056.0,23.0,1055.0,0.4929,0.5071,0.7592,0.0929,0.0493,0.0095,0.0,24360.0,24360.0,34512.0,2015
Hebrew Theological College,IL,Skokie,42.010103,-87.760874,1.0,0.0507,0.0,1030.0,22.0,404.0,0.8465,0.1535,1.0,0.0,0.0,0.0,0.0,19190.0,19190.0,34558.0,2015
University of Illinois at Chicago,IL,Chicago,41.871837,-87.650503,0.0,0.3332,0.0,1125.0,25.0,16635.0,0.5018,0.4982,0.3591,0.0789,0.2644,0.2284,0.0011,13634.0,26024.0,25146.0,2015
Benedictine University,IL,Lisle,41.777569,-88.097307,1.0,0.3249,0.0276,1030.0,22.0,3750.0,0.5856,0.4144,0.4557,0.0944,0.1053,0.1501,0.0024,26558.0,26558.0,35143.0,2015
University of Illinois at Urbana-Champaign,IL,Champaign,40.104718,-88.229114,0.0,0.6922,0.0,1326.0,29.0,31875.0,0.4397,0.5603,0.5071,0.0544,0.0879,0.1625,0.0005,15020.0,29646.0,29086.0,2015
Illinois Wesleyan University,IL,Bloomington,40.489901,-88.992014,1.0,0.7491,0.0,1249.0,28.0,1883.0,0.5613,0.4387,0.7095,0.0457,0.068,0.0435,0.0027,40844.0,40844.0,50324.0,2015
Illinois Institute of Technology,IL,Chicago,41.8313,-87.627321,1.0,0.2832,0.0,1266.0,28.0,3046.0,0.306,0.6940000000000001,0.3326,0.0607,0.1402,0.1129,0.0033,41645.0,41645.0,51572.0,2015
Illinois State University,IL,Normal,40.509403000000006,-88.99005799999999,0.0,0.4562,0.0,1110.0,24.0,18056.0,0.5505,0.4495,0.7817,0.0738,0.0879,0.0217,0.0012,13296.0,20886.0,26259.0,2015
Judson University,IL,Elgin,42.061754,-88.291336,1.0,0.3128,0.0,1080.0,23.0,1051.0,0.5766,0.4234,0.6194,0.0771,0.1313,0.0152,0.0019,27530.0,27530.0,39014.0,2015
Lewis University,IL,Romeoville,41.605432,-88.079032,1.0,0.423,0.0,1070.0,23.0,4605.0,0.5733,0.4267,0.6554,0.0697,0.182,0.0328,0.0004,27830.0,27830.0,34901.0,2015
Lincoln Christian University,IL,Lincoln,40.148924,-89.346721,1.0,0.3133,0.0,1006.0,22.0,553.0,0.5244,0.4756,0.8047,0.0868,0.0362,0.0108,0.0127,16050.0,16050.0,26434.0,2015
Lincoln College,IL,Lincoln,40.155442,-89.36153,1.0,0.0,0.5165,1125.0,25.0,1184.0,0.5676,0.4324,0.4814,0.4054,0.0507,0.0025,0.0042,17500.0,17500.0,29217.0,2015
Loyola University Chicago,IL,Chicago,42.000765,-87.65687199999999,1.0,0.6521,0.0,1212.0,27.0,10042.0,0.6472,0.3528,0.6028,0.0376,0.132,0.1105,0.001,37412.0,37412.0,48958.0,2015
MacMurray College,IL,Jacksonville,39.730918,-90.223986,1.0,0.2333,0.0,970.0,21.0,546.0,0.5476,0.4524,0.7601,0.1227,0.0531,0.0,0.0018,23600.0,23600.0,31846.0,2015
McKendree University,IL,Lebanon,38.608154,-89.816822,1.0,0.3571,0.0,1048.0,23.0,2452.0,0.564,0.436,0.6909,0.1399,0.0432,0.011000000000000001,0.0098,26900.0,26900.0,37845.0,2015
Millikin University,IL,Decatur,39.842612,-88.976298,1.0,0.5103,0.0,1046.0,23.0,2082.0,0.5922,0.4078,0.7354,0.1388,0.06,0.0082,0.0024,29620.0,29620.0,39472.0,2015
