INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
School of the Art Institute of Chicago,IL,Chicago,41.88105,-87.62575799999999,1.0,0.4541,0.1881,1242.0,26.0,2889.0,0.7529,0.2471,0.3437,0.035,0.1135,0.0952,0.0021,49610.0,49610.0,62010.0,2018
Aurora University,IL,Aurora,41.753631,-88.349023,1.0,0.3793,0.0,1062.0,21.0,3912.0,0.6449,0.3551,0.4985,0.0846,0.2991,0.0222,0.0036,23520.0,23520.0,33781.0,2018
Blackburn College,IL,Carlinville,39.287896,-89.87024100000001,1.0,0.4539,0.0,1041.0,21.0,554.0,0.5668,0.4332,0.7563,0.1119,0.0451,0.009000000000000001,0.0036,21992.0,21992.0,29509.0,2018
Bradley University,IL,Peoria,40.696896,-89.616786,1.0,0.5089,0.0,1212.0,25.0,4643.0,0.5061,0.4939,0.7323,0.0713,0.1023,0.0353,0.0009,32930.0,32930.0,45148.0,2018
Chicago State University,IL,Chicago,41.718446,-87.60938399999999,0.0,0.0239,0.5047,946.0,19.0,2025.0,0.6963,0.3037,0.0395,0.7467,0.0775,0.003,0.0035,10252.0,17212.0,21270.0,2018
University of Chicago,IL,Chicago,41.787994,-87.59953900000001,1.0,0.8752,0.0,1524.0,34.0,6298.0,0.4898,0.5102,0.4211,0.053,0.1253,0.184,0.0013,56034.0,56034.0,72717.0,2018
Concordia University-Chicago,IL,River Forest,41.898696,-87.80948199999999,1.0,0.4548,0.0,1100.0,22.0,1405.0,0.5879,0.4121,0.4648,0.1374,0.2982,0.0263,0.0028,31588.0,31588.0,38850.0,2018
Eastern Illinois University,IL,Charleston,39.479843,-88.175658,0.0,0.3319,0.3112,1045.0,21.0,4877.0,0.5961,0.4039,0.6301,0.2067,0.07400000000000001,0.0123,0.0031,11678.0,13868.0,23148.0,2018
Elmhurst College,IL,Elmhurst,41.897164000000004,-87.945369,1.0,0.5347,0.0,1141.0,23.0,2782.0,0.606,0.39399999999999996,0.628,0.0507,0.207,0.0496,0.0007,36370.0,36370.0,44601.0,2018
Eureka College,IL,Eureka,40.71482,-89.269624,1.0,0.3899,0.4528,1084.0,22.0,605.0,0.5041,0.4959,0.8347,0.0661,0.0298,0.005,0.0033,25390.0,25390.0,31338.0,2018
Greenville University,IL,Greenville,38.894162,-89.40824,1.0,0.3587,0.0,1067.0,22.0,944.0,0.4936,0.5064,0.6886,0.1356,0.0625,0.0127,0.0042,26356.0,26356.0,38083.0,2018
Hebrew Theological College,IL,Skokie,42.010103,-87.760874,1.0,0.02,0.5086,1064.0,21.0,100.0,0.79,0.21,0.91,0.0,0.05,0.0,0.0,17630.0,17630.0,28994.0,2018
University of Illinois at Chicago,IL,Chicago,41.871837,-87.650503,0.0,0.2995,0.0,1150.0,23.0,19106.0,0.509,0.491,0.3008,0.0798,0.3305,0.2175,0.0006,13704.0,26560.0,25407.0,2018
