INSTNM,STABBR,CITY,LATITUDE,LONGITUDE,SCHTYPE,C100_4,TRANS_4,SAT_AVG,ACTCMMID,UGDS,UGDS_WOMEN,UGDS_MEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,Year
School of the Art Institute of Chicago,IL,Chicago,41.88105,-87.62575799999999,1.0,0.4176,0.2141,1127.0,25.0,2848.0,0.7331,0.2669,0.3466,0.0341,0.1057,0.1103,0.0025,45750.0,45750.0,59698.0,2017
Aurora University,IL,Aurora,41.753631,-88.349023,1.0,0.4137,0.0,1005.0,22.0,3784.0,0.6477,0.3523,0.5383,0.0766,0.2738,0.0238,0.0032,22830.0,22830.0,32930.0,2017
Blackburn College,IL,Carlinville,39.287896,-89.87024100000001,1.0,0.3067,0.0,968.0,21.0,587.0,0.5383,0.4617,0.7666,0.1227,0.028999999999999998,0.0085,0.0017,21162.0,21162.0,27769.0,2017
Bradley University,IL,Peoria,40.696896,-89.616786,1.0,0.5414,0.0,1141.0,25.0,4464.0,0.5052,0.4948,0.569,0.0484,0.0679,0.0284,0.0016,32120.0,32120.0,44130.0,2017
Chicago State University,IL,Chicago,41.718446,-87.60938399999999,0.0,0.0274,0.4761,883.0,18.0,2352.0,0.7003,0.2997,0.0327,0.7453,0.0791,0.0043,0.0021,10252.0,17212.0,21509.0,2017
University of Chicago,IL,Chicago,41.787994,-87.59953900000001,1.0,0.8944,0.0,1508.0,34.0,5978.0,0.4851,0.5149,0.4344,0.0534,0.1096,0.1798,0.0017,53649.0,53649.0,70100.0,2017
Concordia University-Chicago,IL,River Forest,41.898696,-87.80948199999999,1.0,0.2805,0.0,1011.0,22.0,1467.0,0.5746,0.4254,0.5194,0.1254,0.2679,0.0245,0.0014,30630.0,30630.0,39036.0,2017
Eastern Illinois University,IL,Charleston,39.479843,-88.175658,0.0,0.3402,0.314,990.0,21.0,5750.0,0.6012,0.3988,0.6683,0.192,0.0696,0.0094,0.003,11580.0,13740.0,22957.0,2017
Elmhurst College,IL,Elmhurst,41.897164000000004,-87.945369,1.0,0.5605,0.0,1068.0,23.0,2778.0,0.5893,0.4107,0.6425,0.0554,0.1861,0.0551,0.0007,35500.0,35500.0,43482.0,2017
Eureka College,IL,Eureka,40.71482,-89.269624,1.0,0.4023,0.3851,1030.0,22.0,666.0,0.5105,0.4895,0.8514,0.0511,0.027000000000000003,0.006,0.006,21120.0,21120.0,30677.0,2017
Greenville University,IL,Greenville,38.894162,-89.40824,1.0,0.4028,0.0,999.0,22.0,956.0,0.501,0.499,0.6841,0.1077,0.0533,0.0146,0.0031,25720.0,25720.0,35756.0,2017
University of Illinois at Chicago,IL,Chicago,41.871837,-87.650503,0.0,0.3089,0.297,1105.0,24.0,17804.0,0.5048,0.4952,0.3222,0.0821,0.3074,0.2224,0.0006,13664.0,26520.0,25131.0,2017
University of Illinois at Urbana-Champaign,IL,Champaign,40.104718,-88.229114,0.0,0.6988,0.0,1320.0,29.0,32752.0,0.4523,0.5477,0.4661,0.0593,0.1048,0.1791,0.0006,15058.0,30680.0,29764.0,2017
Illinois Wesleyan University,IL,Bloomington,40.489901,-88.992014,1.0,0.7389,0.0,1229.0,27.0,1763.0,0.536,0.46399999999999997,0.7107,0.0437,0.0698,0.0437,0.0,44142.0,44142.0,54580.0,2017
Illinois Institute of Technology,IL,Chicago,41.8313,-87.627321,1.0,0.3646,0.0,1275.0,29.0,2859.0,0.3001,0.6999,0.3428,0.0577,0.1623,0.1336,0.0028,45214.0,45214.0,57277.0,2017
